,Title,Year,Authors,Journal,Journal Acronym,Rank
242,Access Management in Joint Sensing and Communication Systems: Efficiency Versus Fairness.,2022,"Trung Thanh Nguyen, Khaled M. Elbassioni, Nguyen Cong Luong, Dusit Niyato, Dong In Kim",IEEE Trans. Veh. Technol. 71: 5128-5142 ,TVT,
243,Efficient Federated Learning With Spike Neural Networks for Traffic Sign Recognition.,2022,"Kan Xie, Zhe Zhang, Bo Li, Jiawen Kang, Dusit Niyato, Shengli Xie, Yi Wu",IEEE Trans. Veh. Technol. 71: 9980-9992 ,TVT,
244,Intelligent Resource Allocation in Joint Radar-Communication With Graph Neural Networks.,2022,"Joash Lee, Yanyu Cheng, Dusit Niyato, Yong Liang Guan, David González G.",IEEE Trans. Veh. Technol. 71: 11120-11135 ,TVT,
245,VRepChain: A Decentralized and Privacy-Preserving Reputation System for Social Internet of Vehicles Based on Blockchain.,2022,"Yuan Liu, Zehui Xiong, Qin Hu, Dusit Niyato, Jie Zhang, Chunyan Miao, Cyril Leung, Zhihong Tian",IEEE Trans. Veh. Technol. 71: 13242-13253 ,TVT,
246,Optimization-Driven Hierarchical Learning Framework for Wireless Powered Backscatter-Aided Relay Communications.,2022,"Shimin Gong, Yuze Zou, Jing Xu, Dinh Thai Hoang, Bin Lyu, Dusit Niyato",IEEE Trans. Wirel. Commun. 21: 1378-1391 ,TWC,
247,Decentralized Learning for Channel Allocation in IoT Networks Over Unlicensed Bandwidth as a Contextual Multi-Player Multi-Armed Bandit Game.,2022,"Wenbo Wang, Amir Leshem, Dusit Niyato, Zhu Han",IEEE Trans. Wirel. Commun. 21: 3162-3178 ,TWC,
248,Learning to Optimize User Association and Spectrum Allocation With Partial Observation in mmWave-Enabled UAV Networks.,2022,"Chaoqiong Fan, Changyang She, Hengsheng Zhang, Bin Li, Chenglin Zhao, Dusit Niyato",IEEE Trans. Wirel. Commun. 21: 5873-5888 ,TWC,
249,Dynamic Network Service Selection in Intelligent Reflecting Surface-Enabled Wireless Systems: Game Theory Approaches.,2022,"Nguyen Thi Thanh Van, Nguyen Cong Luong, Shaohan Feng, Huy T. Nguyen, Kun Zhu, Thien Van Luong, Dusit Niyato",IEEE Trans. Wirel. Commun. 21: 5947-5961 ,TWC,
250,Multi-Agent Deep Reinforcement Learning for Task Offloading in UAV-Assisted Mobile Edge Computing.,2022,"Nan Zhao, Zhiyang Ye, Yiyang Pei, Ying-Chang Liang, Dusit Niyato",IEEE Trans. Wirel. Commun. 21: 6949-6960 ,TWC,
251,Mean-Field Artificial Noise Assistance and Uplink Power Control in Covert IoT Systems.,2022,"Shaohan Feng, Xiao Lu, Sumei Sun, Dusit Niyato",IEEE Trans. Wirel. Commun. 21: 7358-7373 ,TWC,
252,Federated Spectrum Learning for Reconfigurable Intelligent Surfaces-Aided Wireless Edge Networks.,2022,"Bo Yang, Xuelin Cao, Chongwen Huang, Chau Yuen, Marco Di Renzo, Yong Liang Guan, Dusit Niyato, Lijun Qian, Mérouane Debbah",IEEE Trans. Wirel. Commun. 21: 9610-9626 ,TWC,
253,Intelligence Reflecting Surface-Aided Integrated Data and Energy Networking Coexisting D2D Communications.,2022,"Nguyen Thi Thanh Van, Huy Thanh Nguyen, Nguyen Cong Luong, Ngo Manh Tien, Dusit Niyato, Dong In Kim",IEEE Trans. Wirel. Commun. 21: 10035-10049 ,TWC,
254,Artificial Intelligence for Autonomous Vehicular Communication Networks [From the Guest Editors].,2022,"Li-Chun Wang, Haris Gacanin, Dusit Niyato, Yu-Jia Chen, Chun-Hung Liu, Alagan Anpalagan",IEEE Veh. Technol. Mag. 17: 83-84 ,VTM,
255,"Reconfigurable Intelligent Surface-Aided Joint Radar and Covert Communications: Fundamentals, Optimization, and Challenges.",2022,"Hongyang Du, Jiawen Kang, Dusit Niyato, Jiayi Zhang, Dong In Kim",IEEE Veh. Technol. Mag. 17: 54-64 ,VTM,
256,Symbiotic Communications: Where Marconi Meets Darwin.,2022,"Ying-Chang Liang, Ruizhe Long, Qianqian Zhang, Dusit Niyato",IEEE Wirel. Commun. 29: 144-150 ,WC,
257,Blockchain and 6G: The Future of Secure and Ubiquitous Communication.,2022,"Ali Hussain Khan, Naveed Ul Hassan, Chau Yuen, Jun Zhao, Dusit Niyato, Yan Zhang, H. Vincent Poor",IEEE Wirel. Commun. 29: 194-201 ,WC,
258,Secure and Trusted Collaborative Learning Based on Blockchain for Artificial Intelligence of Things.,2022,"Xiangyun Tang, Liehuang Zhu, Meng Shen, Jialiang Peng, Jiawen Kang, Dusit Niyato, Ahmed A. Abd El-Latif",IEEE Wirel. Commun. 29: 14-22 ,WC,
259,Secure and Reliable Transfer Learning Framework for 6G-Enabled Internet of Vehicles.,2022,"Minrui Xu, Dinh Thai Hoang, Jiawen Kang, Dusit Niyato, Qiang Yan, Dong In Kim",IEEE Wirel. Commun. 29: 132-139 ,WC,
260,Semantic Communication Meets Edge Intelligence.,2022,"Wanting Yang, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xianbin Cao, Khaled B. Letaief",IEEE Wirel. Commun. 29: 28-35 ,WC,
261,Guest Editorial: Coexistence of Drone and Terrestrial Networks.,2022,"Gagangeet Singh Aujla, Harpreet S. Dhillon, Dusit Niyato, Chiranjib Saha",IEEE Wirel. Commun. 29: 12-13 ,WC,
262,Semantic Information Market For The Metaverse: An Auction Based Approach.,2022,"Ismail Lotfi, Dusit Niyato, Sumei Sun, Dong In Kim, Melike Erol-Kantarci, Chunyan Miao",FNWF 2022: 628-633,5GWF,
263,CrowdFL: A Marketplace for Crowdsourced Federated Learning.,2022,"Daifei Feng, Cicilia Helena, Wei Yang Bryan Lim, Jer Shyuan Ng, Hongchao Jiang, Zehui Xiong, Jiawen Kang, Han Yu, Dusit Niyato, Chunyan Miao",AAAI 2022: 13164-13166,AAAI,A*
264,Dynamic Incentive Mechanism Design for COVID-19 Social Distancing.,2022,"Xuan Rong Zane Ho, Wei Yang Bryan Lim, Hongchao Jiang, Jer Shyuan Ng, Han Yu, Zehui Xiong, Dusit Niyato, Chunyan Miao",AAAI 2022: 13173-13175,AAAI,A*
265,Blockchain-based Federated Learning for Industrial Metaverses: Incentive Scheme with Optimal AoI.,2022,"Jiawen Kang, Dongdong Ye, Jiangtian Nie, Jiang Xiao, Xianjun Deng, Siming Wang, Zehui Xiong, Rong Yu, Dusit Niyato",Blockchain 2022: 71-78,BLOCKCHAIN2,
266,Resource Allocation in Quantum Key Distribution (QKD) for Space-Air-Ground Integrated Networks.,2022,"Rakpong Kaewpuang, Minrui Xu, Dusit Niyato, Han Yu, Zehui Xiong",CAMAD 2022: 71-76,CAMAD,
267,Edge Computing-Enabled Multi-Sensor Data Fusion for Intelligent Surveillance in Maritime Transportation Systems.,2022,"Jingxiang Qu, Ryan Wen Liu, Jiangtian Nie, Xianjun Deng, Zehui Xiong, Yang Zhang, Han Yu, Dusit Niyato",DASC/PiCom/CBDCom/CyberSciTech 2022: 1-8,DASC,C
268,Heterogeneous Federated Learning via Grouped Sequential-to-Parallel Training.,2022,"Shenglai Zeng, Zonghang Li, Hongfang Yu, Yihong He, Zenglin Xu, Dusit Niyato, Han Yu",DASFAA  2022: 455-471,DASFAA,B
269,Message from the General Chairs: EUC 2022.,2022,"Dusit Niyato, Zhu Han, Tony Q. S. Quek",EUC 2022: viii,EUC,C
270,Multi-Resource Allocation for On-Device Distributed Federated Learning Systems.,2022,"Yulan Gao, Ziqiang Ye, Han Yu, Zehui Xiong, Yue Xiao, Dusit Niyato",GLOBECOM 2022: 160-165,GLOBECOM,B
271,Cooperative Edge Caching via Federated Deep Deterministic Policy Gradient Learning in Fog-RANs.,2022,"Yu Wang, Yanxiang Jiang, Fu-Chun Zheng, Dusit Niyato, Xiaohu You",GLOBECOM  2022: 371-376,GLOBECOM,B
272,AoI-aware Scheduling and Trajectory Optimization for Multi-UAV-assisted Wireless Networks.,2022,"Yusi Long, Wenjie Zhang, Shimin Gong, Xiaoling Luo, Dusit Niyato",GLOBECOM 2022: 2163-2168,GLOBECOM,B
273,Adaptive Quantization based on Ensemble Distillation to Support FL enabled Edge Intelligence.,2022,"Yi-Jing Liu, Shuang Qin, Gang Feng, Dusit Niyato, Yao Sun, Jianhong Zhou",GLOBECOM 2022: 2194-2199,GLOBECOM,B
274,Performance Analysis of Jammer-Aided Covert RIS-NOMA Systems.,2022,"Yanyu Cheng, Jianyuan Lu, Dusit Niyato, Biao Lyu, Minrui Xu, Shunmin Zhu",GLOBECOM 2022: 2716-2721,GLOBECOM,B
275,Computation Offloading and Energy Harvesting Schemes for Sum Rate Maximization in Space-Air-Ground Networks.,2022,"Yongkang Gong, Haipeng Yao, Zehui Xiong, Song Guo, F. Richard Yu, Dusit Niyato",GLOBECOM 2022: 3941-3946,GLOBECOM,B
276,Optimal Targeted Advertising Strategy for Secure Wireless Edge Metaverse.,2022,"Hongyang Du, Dusit Niyato, Chunyan Miao, Jiawen Kang, Dong In Kim",GLOBECOM 2022: 4346-4351,GLOBECOM,B
277,IRS-Aided Secure MISO-NOMA Networks Towards Internal and External Eavesdropping.,2022,"Hui Han, Yang Cao, Min Sheng, Junyu Liu, Nan Zhao, Dusit Niyato",GLOBECOM 2022: 4364-4370,GLOBECOM,B
278,Stochastic Resource Allocation in Quantum Key Distribution for Secure Federated Learning.,2022,"Minrui Xu, Wei Chong Ng, Dusit Niyato, Han Yu, Chunyan Miao, Dong In Kim, Xuemin Sherman Shen",GLOBECOM 2022: 4377-4382,GLOBECOM,B
279,UAV-Assisted Networks With Underlaid Ambient Backscattering: Modeling and Outage Analysis.,2022,"Xu Jiang, Min Sheng, Nan Zhao, Junyu Liu, Dusit Niyato, F. Richard Yu",GLOBECOM 2022: 4947-4952,GLOBECOM,B
280,Optimization of Image Transmission in Semantic Communication Networks.,2022,"Wenjing Zhang, Yining Wang, Mingzhe Chen, Tao Luo, Dusit Niyato",GLOBECOM 2022: 5965-5970,GLOBECOM,B
281,Economics of Semantic Communication System in Wireless Powered Internet of Things.,2022,"Zi Qin Liew, Yanyu Cheng, Wei Yang Bryan Lim, Dusit Niyato, Chunyan Miao, Sumei Sun",ICASSP 2022: 8637-8641,ICASSP,
282,User-Centric Blockchain for Industry 5.0 Applications.,2022,"Hulin Yang, Alia Asheralieva, Jin Zhang, Md. Monjurul Karim, Dusit Niyato, Khuhawar Arif Raza",ICC Workshops 2022: 25-30,ICC,
283,Covert Communication for Jammer-aided Multi-Antenna UAV Networks.,2022,"Hongyang Du, Dusit Niyato, Yuan-Ai Xie, Yanyu Cheng, Jiawen Kang, Dong In Kim",ICC 2022: 91-96,ICC,
284,Evolutionary Model Owner Selection for Federated Learning with Heterogeneous Privacy Budgets.,2022,"Wei Yang Bryan Lim, Jer Shyuan Ng, Jiangtian Nie, Qin Hu, Zehui Xiong, Dusit Niyato, Chunyan Miao",ICC 2022: 980-985,ICC,
285,A Dynamic Resource Allocation Framework for Synchronizing Metaverse with IoT Service and Data.,2022,"Yue Han, Dusit Niyato, Cyril Leung, Chunyan Miao, Dong In Kim",ICC 2022: 1196-1201,ICC,
286,UAV-assisted Wireless Power Charging for Efficient Hybrid Coded Edge Computing Network.,2022,"Jer Shyuan Ng, Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Cyril Leung, Chunyan Miao",ICC 2022: 4037-4042,ICC,
287,Retrospective Interference Regeneration Schemes for Relay-Aided K-user MIMO Broadcast Networks.,2022,"Jingfu Li, Zehui Xiong, Wenjiang Feng, Weiheng Jiang, Dusit Niyato",ICC 2022: 5153-5158,ICC,
288,Unified Resource Allocation Framework for the Edge Intelligence-Enabled Metaverse.,2022,"Wei Chong Ng, Wei Yang Bryan Lim, Jer Shyuan Ng, Zehui Xiong, Dusit Niyato, Chunyan Miao",ICC 2022: 5214-5219,ICC,
289,Wireless Edge-Empowered Metaverse: A Learning-Based Incentive Mechanism for Virtual Reality.,2022,"Minrui Xu, Dusit Niyato, Jiawen Kang, Zehui Xiong, Chunyan Miao, Dong In Kim",ICC 2022: 5220-5225,ICC,
290,AIS Data-Based Efficient Ship Trajectory Clustering.,2022,"Ruli Xu, Ryan Wen Liu, Jiangtian Nie, Xianjun Deng, Zehui Xiong, Wenchao Jiang, Han Yu, Dusit Niyato",ISPA/BDCloud/SocialCom/SustainCom 2022: 581-588,BDCLOUD,
291,Energy Minimization for Wireless Powered Data Offloading in IRS-assisted MEC for Vehicular Networks.,2022,"Yuanzheng Tan, Yusi Long, Songhan Zhao, Shimin Gong, Dinh Thai Hoang, Dusit Niyato",IWCMC 2022: 731-736,IWCMC,B
292,Differentiated Security Architecture for Secure and Efficient Infotainment Data Communication in IoV Networks.,2022,"Jiani Fan, Lwin Khin Shar, Jiale Guo, Wenzhuo Yang, Dusit Niyato, Kwok-Yan Lam",NSS 2022: 283-304,NSS,B
293,Dynamic Target Acceleration Estimation Using CSI.,2022,"Jiacheng Wang, Zengshan Tian, Xiaolong Yang, Mu Zhou, Jiamin Huang, Dusit Niyato",VTC Spring 2022: 1-5,VTC,B
294,Deep Reinforcement Learning for Time Allocation and Directional Transmission in Joint Radar-Communication.,2022,"Joash Lee, Yanyu Cheng, Dusit Niyato, Yong Liang Guan, G. David Gonzalez",WCNC 2022: 2559-2564,WCNC,B
295,IRS-Assisted UAV Covert Communication via Location and Power Optimization.,2022,"Chao Wang, Xinying Chen, Jianping An, Zehui Xiong, Chengwen Xing, Nan Zhao, Dusit Niyato",WCSP 2022: 275-280,WCSP,
296,Joint Precoding and Jamming Design for Secure Transmission in NOMA-ISAC Networks.,2022,"Dongdong Li, Zhutian Yang, Nan Zhao, Zhilu Wu, Yonghui Li, Dusit Niyato",WCSP 2022: 764-769,WCSP,
297,Robust Semi-supervised Federated Learning for Images Automatic Recognition in Internet of Drones.,2022,"Zhe Zhang, Shiyao Ma, Zhaohui Yang, Zehui Xiong, Jiawen Kang, Yi Wu, Kejia Zhang, Dusit Niyato",CoRR abs/2201.01230 ,CORR,
298,Realizing the Metaverse with Edge Intelligence: A Match Made in Heaven.,2022,"Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xianbin Cao, Chunyan Miao, Sumei Sun, Qiang Yang",CoRR abs/2201.01634 ,CORR,
299,Heterogeneous Federated Learning via Grouped Sequential-to-Parallel Training.,2022,"Shenglai Zeng, Zonghang Li, Hongfang Yu, Yihong He, Zenglin Xu, Dusit Niyato, Han Yu",CoRR abs/2201.12976 ,CORR,
300,Performance Analysis and Optimization for Jammer-Aided Multi-Antenna UAV Covert Communication.,2022,"Hongyang Du, Dusit Niyato, Yuan-Ai Xie, Yanyu Cheng, Jiawen Kang, Dong In Kim",CoRR abs/2202.00973 ,CORR,
301,Data Heterogeneity-Robust Federated Learning via Group Client Selection in Industrial IoT.,2022,"Zonghang Li, Yihong He, Hongfang Yu, Jiawen Kang, Xiaoping Li, Zenglin Xu, Dusit Niyato",CoRR abs/2202.01512 ,CORR,
302,Semantic Communication Meets Edge Intelligence.,2022,"Wanting Yang, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xianbin Cao, Khaled B. Letaief",CoRR abs/2202.06471 ,CORR,
303,Stochastic Coded Offloading Scheme for Unmanned Aerial Vehicle-Assisted Edge Computing.,2022,"Wei Chong Ng, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Zhu Han, Dong In Kim",CoRR abs/2202.11697 ,CORR,
304,"Reconfigurable Intelligent Surface-Aided Joint Radar and Covert Communications: Fundamentals, Optimization, and Challenges.",2022,"Hongyang Du, Jiawen Kang, Dusit Niyato, Jiayi Zhang, Dong In Kim",CoRR abs/2203.02704 ,CORR,
305,A Dynamic Hierarchical Framework for IoT-assisted Metaverse Synchronization.,2022,"Yue Han, Dusit Niyato, Cyril Leung, Dong In Kim, Kun Zhu, Shaohan Feng, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2203.03969 ,CORR,
306,"A Full Dive into Realizing the Edge-enabled Metaverse: Visions, Enabling Technologies, and Challenges.",2022,"Minrui Xu, Wei Chong Ng, Wei Yang Bryan Lim, Jiawen Kang, Zehui Xiong, Dusit Niyato, Qiang Yang, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2203.05471 ,CORR,
307,An Effective Framework of Private Ethereum Blockchain Networks for Smart Grid.,2022,"Do Hai Son, Tran Thi Thuy Quynh, Tran Viet Khoa, Dinh Thai Hoang, Nguyen Linh Trung, Nguyen Viet Ha, Dusit Niyato, Diep N. Nguyen, Eryk Dutkiewicz",CoRR abs/2203.14633 ,CORR,
308,Joint Power Allocation and Rate Control for Rate Splitting Multiple Access Networks with Covert Communications.,2022,"Nguyen Quang Hieu, Dinh Thai Hoang, Dusit Niyato, Diep N. Nguyen, Dong In Kim, Abbas Jamalipour",CoRR abs/2203.16807 ,CORR,
309,Privacy-preserving Anomaly Detection in Cloud Manufacturing via Federated Transformer.,2022,"Shiyao Ma, Jiangtian Nie, Jiawen Kang, Lingjuan Lyu, Ryan Wen Liu, Ruihui Zhao, Ziyao Liu, Dusit Niyato",CoRR abs/2204.00843 ,CORR,
310,Semantic Information Market For The Metaverse: An Auction Based Approach.,2022,"Ismail Lotfi, Dusit Niyato, Sumei Sun, Dong In Kim, Melike Erol-Kantarci, Chunyan Miao",CoRR abs/2204.04878 ,CORR,
311,"6G-enabled Edge AI for Metaverse: Challenges, Methods, and Future Research Directions.",2022,"Luyi Chang, Zhe Zhang, Pei Li, Shan Xi, Wei Guo, Yukang Shen, Zehui Xiong, Jiawen Kang, Dusit Niyato, Xiuquan Qiao, Yi Wu",CoRR abs/2204.06192 ,CORR,
312,"Quantum-Secured Space-Air-Ground Integrated Networks: Concept, Framework, and Case Study.",2022,"Minrui Xu, Dusit Niyato, Zehui Xiong, Jiawen Kang, Xianbin Cao, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2204.08673 ,CORR,
313,Federated Spectrum Learning for Reconfigurable Intelligent Surfaces-Aided Wireless Edge Networks.,2022,"Bo Yang, Xuelin Cao, Chongwen Huang, Chau Yuen, Marco Di Renzo, Yong Liang Guan, Dusit Niyato, Lijun Qian, Mérouane Debbah",CoRR abs/2205.10791 ,CORR,
314,Efficient Federated Learning with Spike Neural Networks for Traffic Sign Recognition.,2022,"Kan Xie, Zhe Zhang, Bo Li, Jiawen Kang, Dusit Niyato, Shengli Xie, Yi Wu",CoRR abs/2205.14315 ,CORR,
315,Blockchain-based Federated Learning for Industrial Metaverses: Incentive Scheme with Optimal AoI.,2022,"Jiawen Kang, Dongdong Ye, Jiangtian Nie, Jiang Xiao, Xianjun Deng, Siming Wang, Zehui Xiong, Rong Yu, Dusit Niyato",CoRR abs/2206.07384 ,CORR,
316,Content Popularity Prediction Based on Quantized Federated Bayesian Learning in Fog Radio Access Networks.,2022,"Yunwei Tao, Yanxiang Jiang, Fu-Chun Zheng, Pengcheng Zhu, Dusit Niyato, Xiaohu You",CoRR abs/2206.12258 ,CORR,
317,"Metaverse for Wireless Systems: Vision, Enablers, Architecture, and Future Directions.",2022,"Latif U. Khan, Zhu Han, Dusit Niyato, Ekram Hossain, Choong Seon Hong",CoRR abs/2207.00413 ,CORR,
318,"Semantic Communications for 6G Future Internet: Fundamentals, Applications, and Challenges.",2022,"Wanting Yang, Hongyang Du, Zi Qin Liew, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Xuefen Chi, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2207.00427 ,CORR,
319,Exploring Attention-Aware Network Resource Allocation for Customized Metaverse Services.,2022,"Hongyang Du, Jiacheng Wang, Dusit Niyato, Jiawen Kang, Zehui Xiong, Xuemin Shen, Dong In Kim",CoRR abs/2208.00369 ,CORR,
320,Rethinking Quality of Experience for Metaverse Services: A Consumer-based Economics Perspective.,2022,"Hongyang Du, Bohao Ma, Dusit Niyato, Jiawen Kang",CoRR abs/2208.01076 ,CORR,
321,Economics of Semantic Communication System: An Auction Approach.,2022,"Zi Qin Liew, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao, Dong In Kim",CoRR abs/2208.05040 ,CORR,
322,Attention-aware Resource Allocation and QoE Analysis for Metaverse xURLLC Services.,2022,"Hongyang Du, Jiazhen Liu, Dusit Niyato, Jiawen Kang, Zehui Xiong, Junshan Zhang, Dong In Kim",CoRR abs/2208.05438 ,CORR,
323,Slicing4Meta: An Intelligent Integration Framework with Multi-dimensional Network Resources for Metaverse-as-a-Service in Web 3.0.,2022,"Yi-Jing Liu, Hongyang Du, Dusit Niyato, Gang Feng, Jiawen Kang, Zehui Xiong",CoRR abs/2208.06081 ,CORR,
324,Resource Allocation in Quantum Key Distribution (QKD) for Space-Air-Ground Integrated Networks.,2022,"Rakpong Kaewpuang, Minrui Xu, Dusit Niyato, Han Yu, Zehui Xiong",CoRR abs/2208.08009 ,CORR,
325,Performance Optimization for Semantic Communications: An Attention-based Reinforcement Learning Approach.,2022,"Yining Wang, Mingzhe Chen, Tao Luo, Walid Saad, Dusit Niyato, H. Vincent Poor, Shuguang Cui",CoRR abs/2208.08239 ,CORR,
326,On The Robustness of Channel Allocation in Joint Radar And Communication Systems: An Auction Approach.,2022,"Ismail Lotfi, Hongyang Du, Dusit Niyato, Sumei Sun, Dong In Kim",CoRR abs/2208.09821 ,CORR,
327,Adaptive Resource Allocation in Quantum Key Distribution (QKD) for Federated Learning.,2022,"Rakpong Kaewpuang, Minrui Xu, Dusit Niyato, Han Yu, Zehui Xiong, Xuemin Sherman Shen",CoRR abs/2208.11270 ,CORR,
328,Stochastic Resource Allocation for Semantic Communication-aided Virtual Transportation Networks in the Metaverse.,2022,"Wei Chong Ng, Hongyang Du, Wei Yang Bryan Lim, Zehui Xiong, Dusit Niyato, Chunyan Miao",CoRR abs/2208.14661 ,CORR,
329,"A Primer on Rate-Splitting Multiple Access: Tutorial, Myths, and Frequently Asked Questions.",2022,"Bruno Clerckx, Yijie Mao, Eduard A. Jorswieck, Jinhong Yuan, David J. Love, Elza Erkip, Dusit Niyato",CoRR abs/2209.00491 ,CORR,
330,Cooperative Resource Management in Quantum Key Distribution (QKD) Networks for Semantic Communication.,2022,"Rakpong Kaewpuang, Minrui Xu, Wei Yang Bryan Lim, Dusit Niyato, Han Yu, Jiawen Kang, Xuemin Sherman Shen",CoRR abs/2209.11957 ,CORR,
331,"Extremely Large-Scale MIMO: Fundamentals, Challenges, Solutions, and Future Directions.",2022,"Zhe Wang, Jiayi Zhang, Hongyang Du, Wei E. I. Sha, Bo Ai, Dusit Niyato, Mérouane Debbah",CoRR abs/2209.12131 ,CORR,
332,Securing Large-Scale D2D Networks Using Covert Communication and Friendly Jamming.,2022,"Shaohan Feng, Xiao Lu, Sumei Sun, Dusit Niyato, Ekram Hossain",CoRR abs/2209.15170 ,CORR,
333,Optimal Stochastic Resource Allocation for Distributed Quantum Computing.,2022,"Napat Ngoenriang, Minrui Xu, Sucha Supittayapornpong, Dusit Niyato, Han Yu, Xuemin Shen",CoRR abs/2210.02886 ,CORR,
334,DQC2O: Distributed Quantum Computing for Collaborative Optimization in Future Networks.,2022,"Napat Ngoenriang, Minrui Xu, Jiawen Kang, Dusit Niyato, Han Yu, Xuemin Shen",CoRR abs/2210.02887 ,CORR,
335,Privacy-preserving Intelligent Resource Allocation for Federated Edge Learning in Quantum Internet.,2022,"Minrui Xu, Dusit Niyato, Zhaohui Yang, Zehui Xiong, Jiawen Kang, Dong In Kim, Xuemin Shen",CoRR abs/2210.04308 ,CORR,
336,Rethinking Wireless Communication Security in Semantic Internet of Things.,2022,"Hongyang Du, Jiacheng Wang, Dusit Niyato, Jiawen Kang, Zehui Xiong, Mohsen Guizani, Dong In Kim",CoRR abs/2210.04474 ,CORR,
337,Stochastic Qubit Resource Allocation for Quantum Cloud Computing.,2022,"Rakpong Kaewpuang, Minrui Xu, Dusit Niyato, Han Yu, Zehui Xiong, Jiawen Kang",CoRR abs/2210.12343 ,CORR,
338,A Unified Blockchain-Semantic Framework for Wireless Edge Intelligence Enabled Web 3.0.,2022,"Yijing Lin, Zhipeng Gao, Hongyang Du, Dusit Niyato, Jiawen Kang, Ruilong Deng, Xuemin Sherman Shen",CoRR abs/2210.15130 ,CORR,
339,Imitation Learning-based Implicit Semantic-aware Communication Networks: Multi-layer Representation and Collaborative Reasoning.,2022,"Yong Xiao, Zijian Sun, Guangming Shi, Dusit Niyato",CoRR abs/2210.16118 ,CORR,
340,Pricing for Reconfigurable Intelligent Surface Aided Wireless Networks: Models and Principles.,2022,"Yulan Gao, Yue Xiao, Xianfu Lei, Qiaonan Zhu, Dusit Niyato, Kai-Kit Wong, Pingzhi Fan, Rose Qingyang Hu",CoRR abs/2211.00480 ,CORR,
341,Multi-Resource Allocation for On-Device Distributed Federated Learning Systems.,2022,"Yulan Gao, Ziqiang Ye, Han Yu, Zehui Xiong, Yue Xiao, Dusit Niyato",CoRR abs/2211.00481 ,CORR,
342,Holographic-Type Communication for Digital Twin: A Learning-based Auction Approach.,2022,"Xiuyu Zhang, Minrui Xu, Rui Tan, Dusit Niyato",CoRR abs/2211.01016 ,CORR,
343,"Towards Green Metaverse Networking Technologies, Advancements and Future Directions.",2022,"Siyue Zhang, Wei Yang Bryan Lim, Wei Chong Ng, Zehui Xiong, Dusit Niyato, Xuemin Sherman Shen, Chunyan Miao",CoRR abs/2211.03057 ,CORR,
344,HFedMS: Heterogeneous Federated Learning with Memorable Data Semantics in Industrial Metaverse.,2022,"Shenglai Zeng, Zonghang Li, Hongfang Yu, Zhihao Zhang, Long Luo, Bo Li, Dusit Niyato",CoRR abs/2211.03300 ,CORR,
345,"Machine Learning for Metaverse-enabled Wireless Systems: Vision, Requirements, and Challenges.",2022,"Latif U. Khan, Ibrar Yaqoob, Khaled Salah, Choong Seon Hong, Dusit Niyato, Zhu Han, Mohsen Guizani",CoRR abs/2211.03703 ,CORR,
346,Learning-based Sustainable Multi-User Computation Offloading for Mobile Edge-Quantum Computing.,2022,"Minrui Xu, Dusit Niyato, Jiawen Kang, Zehui Xiong, Mingzhe Chen",CoRR abs/2211.06681 ,CORR,
347,EPViSA: Efficient Auction Design for Real-time Physical-Virtual Synchronization in the Metaverse.,2022,"Minrui Xu, Dusit Niyato, Benjamin Wright, Hongliang Zhang, Jiawen Kang, Zehui Xiong, Shiwen Mao, Zhu Han",CoRR abs/2211.06838 ,CORR,
348,When Quantum Information Technologies Meet Blockchain in Web 3.0.,2022,"Minrui Xu, Xiaoxu Ren, Dusit Niyato, Jiawen Kang, Chao Qiu, Zehui Xiong, Xiaofei Wang, Victor C. M. Leung",CoRR abs/2211.15941 ,CORR,
349,A Blockchain-based Semantic Exchange Framework for Web 3.0 toward Participatory Economy.,2022,"Yijing Lin, Zhipeng Gao, Yaofeng Tu, Hongyang Du, Dusit Niyato, Jiawen Kang, Hui Yang",CoRR abs/2211.16662 ,CORR,
350,Full-Life Cycle Intent-Driven Network Verification: Challenges and Approaches.,2022,"Yanbo Song, Chungang Yang, Jiaming Zhang, Xinru Mi, Dusit Niyato",CoRR abs/2212.09944 ,CORR,
351,Hierarchical Deep Reinforcement Learning for Age-of-Information Minimization in IRS-aided and Wireless-powered Wireless Networks.,2022,"Shimin Gong, Leiyang Cui, Bo Gu, Bin Lyu, Dinh Thai Hoang, Dusit Niyato",CoRR abs/2212.13390 ,CORR,
352,Bayesian Optimization Enhanced Deep Reinforcement Learning for Trajectory Planning and Network Formation in Multi-UAV Networks.,2022,"Shimin Gong, Meng Wang, Bo Gu, Wenjie Zhang, Dinh Thai Hoang, Dusit Niyato",CoRR abs/2212.13396 ,CORR,
